year.key,league.key,team.key,park.key,span.first,span.last,games,openings,attendance
2012,AL,KCA,KAN06,2012-04-13,2012-10-03,81,80,1739859
2012,NL,LAN,LOS03,2012-04-10,2012-10-03,81,81,3324246
2012,NL,MIA,MIA02,2012-04-04,2012-10-03,81,81,2219444
2012,NL,MIL,MIL06,2012-04-06,2012-10-03,81,81,2831385
2012,AL,MIN,MIN04,2012-04-09,2012-09-30,81,81,2776354
2012,AL,NYA,NYC21,2012-04-13,2012-10-03,81,81,3542406
2012,NL,NYN,NYC20,2012-04-05,2012-09-27,81,80,2242803
2012,AL,OAK,OAK01,2012-04-06,2012-10-03,79,79,1591395
2012,AL,OAK,TOK01,2012-03-28,2012-03-29,2,2,87618
2012,NL,PHI,PHI13,2012-04-09,2012-09-27,81,81,3565718
2012,NL,PIT,PIT08,2012-04-05,2012-10-03,81,80,2091918
2012,NL,SDN,SAN02,2012-04-05,2012-09-30,81,81,2123721
2012,AL,SEA,SEA03,2012-04-13,2012-10-03,81,81,1721920
2012,NL,SFN,SFO03,2012-04-13,2012-09-27,81,81,3377371
2012,NL,SLN,STL10,2012-04-13,2012-10-03,81,81,3262109
2012,AL,TBA,STP01,2012-04-06,2012-10-03,81,81,1559681
2012,AL,TEX,ARL02,2012-04-06,2012-09-30,81,81,3460280
2012,AL,TOR,TOR02,2012-04-09,2012-10-03,81,81,2099663
2012,NL,WAS,WAS11,2012-04-12,2012-10-03,81,79,2370794
2013,AL,LAA,ANA01,2013-04-09,2013-09-25,81,81,3019505
2013,NL,ARI,PHO01,2013-04-01,2013-09-29,81,81,2134895
2013,NL,ATL,ATL02,2013-04-01,2013-09-29,81,81,2548679
2013,AL,BAL,BAL12,2013-04-05,2013-09-29,81,81,2357561
2013,AL,BOS,BOS07,2013-04-08,2013-09-22,81,81,2833333
2013,AL,CHA,CHI12,2013-04-01,2013-09-29,81,80,1768413
2013,NL,CHN,CHI11,2013-04-08,2013-09-25,81,81,2642682
2013,NL,CIN,CIN09,2013-04-01,2013-09-29,80,80,2492101
2013,NL,CIN,SFO03,2013-07-23,2013-07-23,1,1,42310
2013,AL,CLE,CLE08,2013-04-08,2013-09-25,81,80,1572926
2013,NL,COL,DEN02,2013-04-05,2013-09-25,81,81,2793828
2013,AL,DET,DET05,2013-04-05,2013-09-22,81,81,3083397
2013,AL,HOU,HOU03,2013-03-31,2013-09-29,81,81,1651883
2013,AL,KCA,KAN06,2013-04-08,2013-09-22,81,81,1750754
2013,NL,LAN,LOS03,2013-04-01,2013-09-29,81,81,3743527
2013,NL,MIA,MIA02,2013-04-08,2013-09-29,81,81,1586322
2013,NL,MIL,MIL06,2013-04-01,2013-09-22,81,81,2531105
2013,AL,MIN,MIN04,2013-04-01,2013-09-29,81,81,2477644
2013,AL,NYA,NYC21,2013-04-01,2013-09-26,81,81,3279589
2013,NL,NYN,NYC20,2013-04-01,2013-09-29,81,80,2135657
2013,AL,OAK,OAK01,2013-04-01,2013-09-22,81,81,1809302
2013,NL,PHI,PHI13,2013-04-05,2013-09-22,81,81,3012403
2013,NL,PIT,PIT08,2013-04-01,2013-09-22,81,80,2256862
2013,NL,SDN,SAN02,2013-04-09,2013-09-26,81,81,2166691
2013,AL,SEA,SEA03,2013-04-08,2013-09-29,81,81,1761546
2013,NL,SFN,SFO03,2013-04-05,2013-09-29,81,80,3326796
2013,NL,SLN,STL10,2013-04-08,2013-09-29,81,81,3369769
2013,AL,TBA,STP01,2013-04-02,2013-09-23,81,81,1510300
2013,AL,TEX,ARL02,2013-04-05,2013-09-30,82,82,3178273
2013,AL,TOR,TOR02,2013-04-02,2013-09-29,81,81,2536562
2013,NL,WAS,WAS11,2013-04-01,2013-09-22,81,81,2652422
2014,AL,LAA,ANA01,2014-03-31,2014-09-21,81,81,3095935
2014,NL,ARI,PHO01,2014-03-31,2014-09-28,79,79,1997385
2014,NL,ARI,SYD01,2014-03-22,2014-03-23,2,2,76345
2014,NL,ATL,ATL02,2014-04-08,2014-09-25,81,81,2354305
2014,AL,BAL,BAL12,2014-03-31,2014-09-21,81,80,2464473
2014,AL,BOS,BOS07,2014-04-04,2014-09-28,81,81,2956089
2014,AL,CHA,CHI12,2014-03-31,2014-09-28,81,79,1650821
2014,NL,CHN,CHI11,2014-04-04,2014-09-24,81,81,2652113
2014,NL,CIN,CIN09,2014-03-31,2014-09-28,81,81,2476664
2014,AL,CLE,CLE08,2014-04-04,2014-09-28,81,78,1437393
2014,NL,COL,DEN02,2014-04-04,2014-09-21,81,81,2680329
2014,AL,DET,DET05,2014-03-31,2014-09-28,81,81,2917209
2014,AL,HOU,HOU03,2014-04-01,2014-09-21,81,81,1751829
2014,AL,KCA,KAN06,2014-04-04,2014-09-21,81,81,1956482
2014,NL,LAN,LOS03,2014-04-04,2014-09-28,81,81,3782337
2014,NL,MIA,MIA02,2014-03-31,2014-09-25,81,81,1732283
2014,NL,MIL,MIL06,2014-03-31,2014-09-28,81,81,2797384
2014,AL,MIN,MIN04,2014-04-07,2014-09-24,81,81,2250606
2014,AL,NYA,NYC21,2014-04-07,2014-09-25,81,80,3401624
2014,NL,NYN,NYC20,2014-03-31,2014-09-28,81,80,2148808
2014,AL,OAK,OAK01,2014-03-31,2014-09-24,81,80,2003628
2014,NL,PHI,PHI13,2014-04-08,2014-09-28,81,81,2423852
2014,NL,PIT,PIT08,2014-03-31,2014-09-21,81,81,2442564
2014,NL,SDN,SAN02,2014-03-30,2014-09-24,81,81,2195373
2014,AL,SEA,SEA03,2014-04-08,2014-09-28,81,81,2064334
2014,NL,SFN,SFO03,2014-04-08,2014-09-28,81,81,3368697
2014,NL,SLN,STL10,2014-04-07,2014-09-21,81,81,3540649
2014,AL,TBA,STP01,2014-03-31,2014-09-21,81,81,1446464
2014,AL,TEX,ARL02,2014-03-31,2014-09-28,81,81,2718733
2014,AL,TOR,TOR02,2014-04-04,2014-09-28,81,81,2375525
2014,NL,WAS,WAS11,2014-04-04,2014-09-28,81,81,2579389
2015,AL,LAA,ANA01,2015-04-10,2015-09-30,81,81,3012765
2015,NL,ARI,PHO01,2015-04-06,2015-10-04,81,81,2080145
2015,NL,ATL,ATL02,2015-04-10,2015-10-04,81,80,2001392
2015,AL,BAL,BAL12,2015-04-10,2015-10-04,78,75,2281202
2015,AL,BAL,STP01,2015-05-01,2015-05-03,3,3,39386
2015,AL,BOS,BOS07,2015-04-13,2015-09-27,81,81,2880694
2015,AL,CHA,CHI12,2015-04-10,2015-10-04,81,80,1755810
2015,NL,CHN,CHI11,2015-04-05,2015-09-28,81,80,2919122
2015,NL,CIN,CIN09,2015-04-06,2015-10-01,81,81,2419506
2015,AL,CLE,CLE08,2015-04-10,2015-10-04,80,78,1388905
2015,NL,COL,DEN02,2015-04-10,2015-09-27,81,80,2506789
2015,AL,DET,DET05,2015-04-06,2015-09-27,81,81,2726048
2015,AL,HOU,HOU03,2015-04-06,2015-09-27,81,81,2153585
2015,AL,KCA,KAN06,2015-04-06,2015-09-27,81,81,2708549
2015,NL,LAN,LOS03,2015-04-06,2015-10-04,81,81,3764815
2015,NL,MIA,MIA02,2015-04-06,2015-09-27,81,81,1752235
2015,NL,MIL,MIL06,2015-04-06,2015-10-04,81,81,2542558
2015,AL,MIN,MIN04,2015-04-13,2015-10-04,81,81,2220054
2015,AL,NYA,NYC21,2015-04-06,2015-10-01,81,80,3193795
2015,NL,NYN,NYC20,2015-04-13,2015-10-04,81,81,2569753
2015,AL,OAK,OAK01,2015-04-06,2015-09-27,81,81,1768175
2015,NL,PHI,PHI13,2015-04-06,2015-10-04,81,78,1831080
2015,NL,PIT,PIT08,2015-04-13,2015-10-04,81,81,2498596
2015,NL,SDN,SAN02,2015-04-09,2015-10-01,81,81,2459752
2015,AL,SEA,SEA03,2015-04-06,2015-10-04,81,81,2193581
2015,NL,SFN,SFO03,2015-04-13,2015-10-04,81,81,3375882
2015,NL,SLN,STL10,2015-04-13,2015-09-27,81,81,3520889
2015,AL,TBA,STP01,2015-04-06,2015-10-04,81,81,1247668
2015,AL,TEX,ARL02,2015-04-10,2015-10-04,81,81,2491875
2015,AL,TOR,TOR02,2015-04-13,2015-09-27,81,81,2794891
2015,NL,WAS,WAS11,2015-04-06,2015-09-28,81,81,2619843
2016,AL,LAA,ANA01,2016-04-04,2016-10-02,81,81,3016142
2016,NL,ARI,PHO01,2016-04-04,2016-10-02,81,81,2036216
2016,NL,ATL,ATL02,2016-04-04,2016-10-02,80,80,2008332
2016,NL,ATL,FTB01,2016-07-03,2016-07-03,1,1,12582
2016,AL,BAL,BAL12,2016-04-04,2016-09-25,81,81,2172344
2016,AL,BOS,BOS07,2016-04-11,2016-10-02,81,81,2955434
2016,AL,CHA,CHI12,2016-04-08,2016-10-02,81,80,1746293
2016,NL,CHN,CHI11,2016-04-11,2016-09-25,81,81,3232420
2016,NL,CIN,CIN09,2016-04-04,2016-10-02,81,81,1894085
2016,AL,CLE,CLE08,2016-04-05,2016-09-25,81,81,1591667
2016,NL,COL,DEN02,2016-04-08,2016-10-02,81,81,2602524
2016,AL,DET,DET05,2016-04-08,2016-09-28,80,80,2493859
2016,AL,HOU,HOU03,2016-04-11,2016-09-28,81,81,2306623
2016,AL,KCA,KAN06,2016-04-03,2016-10-02,81,81,2557712
2016,NL,LAN,LOS03,2016-04-12,2016-09-25,81,81,3703312
2016,NL,MIA,MIA02,2016-04-05,2016-09-28,80,80,1712417
2016,NL,MIL,MIL06,2016-04-04,2016-09-25,81,81,2315244
2016,AL,MIN,MIN04,2016-04-11,2016-09-25,81,81,1963912
2016,AL,NYA,NYC21,2016-04-05,2016-10-02,81,81,3063405
2016,NL,NYN,NYC20,2016-04-08,2016-09-25,81,80,2789602
2016,AL,OAK,OAK01,2016-04-04,2016-09-25,81,81,1521506
2016,NL,PHI,PHI13,2016-04-11,2016-10-02,81,81,1915144
2016,NL,PIT,PIT08,2016-04-03,2016-09-29,81,80,2249201
2016,NL,SDN,SAN02,2016-04-04,2016-09-29,81,81,2351422
2016,AL,SEA,SEA03,2016-04-08,2016-10-02,81,81,2267928
2016,NL,SFN,SFO03,2016-04-07,2016-10-02,81,81,3365256
2016,NL,SLN,STL10,2016-04-11,2016-10-02,81,81,3444490
2016,AL,TBA,STP01,2016-04-03,2016-09-25,81,81,1286163
2016,AL,TEX,ARL02,2016-04-04,2016-10-02,81,81,2710402
2016,AL,TOR,TOR02,2016-04-08,2016-09-29,81,81,3392099
2016,NL,WAS,WAS11,2016-04-07,2016-10-02,81,81,2481938
